City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Omboue,GA,-1.5746,9.2618,77.95,92,100,5.17,overcast clouds
284,Beloha,MG,-25.1667,45.05,75.04,70,100,4.72,overcast clouds
285,Cap Malheureux,MU,-19.9842,57.6142,73.47,80,16,4.0,few clouds
286,Malpe,IN,13.35,74.7167,79.9,85,93,4.59,overcast clouds
287,Palembang,ID,-2.9167,104.7458,73.49,100,40,4.61,moderate rain
288,Buta,CD,2.7858,24.73,69.75,99,95,0.49,overcast clouds
289,Okhotsk,RU,59.3833,143.3,28.09,70,25,16.02,scattered clouds
290,Sao Filipe,CV,14.8961,-24.4956,75.47,65,5,9.78,clear sky
291,Ulaangom,MN,49.9811,92.0667,32.67,39,100,4.29,overcast clouds
292,Masasi,TZ,-10.7167,38.8,68.18,98,39,2.19,scattered clouds
293,Lovozero,RU,68.005,35.0117,33.4,99,100,4.65,light snow
294,Puerto Madryn,AR,-42.7692,-65.0385,60.21,33,89,23.49,overcast clouds
295,Shimoda,JP,34.6667,138.95,70.11,88,99,4.81,light rain
296,Saint-Augustin,CA,51.226,-58.6502,35.96,99,99,9.51,overcast clouds
297,Vredendal,ZA,-31.6683,18.5012,58.59,48,6,5.79,clear sky
298,Llanes,ES,43.4198,-4.7549,56.52,80,99,8.68,overcast clouds
299,Mercedes,AR,-34.6515,-59.4307,65.64,85,1,7.67,clear sky
300,Rio Gallegos,AR,-51.6226,-69.2181,40.48,83,74,9.78,broken clouds
301,Meulaboh,ID,4.1363,96.1285,75.36,93,100,3.29,overcast clouds
302,Bengkulu,ID,-3.8004,102.2655,76.44,85,100,6.13,overcast clouds
303,Kyshtovka,RU,56.555,76.6271,41.14,56,100,8.08,overcast clouds
304,Manvi,IN,15.9833,77.05,86.9,39,84,4.54,broken clouds
305,Lovendegem,BE,51.1024,3.6267,49.98,79,60,8.1,broken clouds
306,Hamilton,US,39.1834,-84.5333,62.73,83,100,4.0,overcast clouds
307,Termini Imerese,IT,37.9837,13.6956,59.99,75,100,3.29,overcast clouds
308,Norman Wells,CA,65.282,-126.8329,44.64,57,75,5.75,broken clouds
309,Taltal,CL,-25.4,-70.4833,63.27,86,42,3.87,scattered clouds
310,Rocha,UY,-34.4833,-54.3333,65.62,98,100,1.61,overcast clouds
311,Broken Hill,AU,-31.95,141.4333,56.91,94,100,17.27,overcast clouds
312,Shunyi,CN,40.125,116.6453,66.15,8,0,24.61,clear sky
313,Atuona,PF,-9.8,-139.0333,78.49,79,21,16.15,light rain
314,Alofi,NU,-19.0595,-169.9187,82.29,78,100,8.05,overcast clouds
315,Flinders,AU,-34.5833,150.8552,63.05,93,100,5.99,light rain
316,Sovetskiy,RU,61.3614,63.5842,32.99,97,97,3.47,overcast clouds
317,Lahij,YE,13.1667,44.5833,78.89,60,85,4.99,overcast clouds
318,Pisco,PE,-13.7,-76.2167,69.85,73,0,4.61,clear sky
319,Narsaq,GL,60.9167,-46.05,35.28,90,96,2.01,overcast clouds
320,Virginia Beach,US,36.8529,-75.978,80.65,83,53,13.31,broken clouds
321,Zhuanghe,CN,39.7008,122.9911,53.29,91,96,4.47,overcast clouds
322,Bonthe,SL,7.5264,-12.505,80.74,86,89,10.76,overcast clouds
323,Erdenet,MN,49.0333,104.0833,17.71,58,0,3.49,clear sky
324,Yaroslavskaya,RU,44.6106,40.4642,59.23,78,54,6.55,broken clouds
325,Oranjestad,AW,12.524,-70.027,82.35,74,20,19.57,few clouds
326,Bayir,TR,37.2687,28.2167,46.92,65,21,2.59,few clouds
327,Ninghai,CN,29.2892,121.4247,67.64,99,100,3.02,moderate rain
328,Quelimane,MZ,-17.8786,36.8883,78.75,89,0,2.3,clear sky
329,Okha,RU,53.5739,142.9478,31.01,78,6,10.27,clear sky
330,Aykhal,RU,66.0,111.5,14.54,100,97,3.87,overcast clouds
331,Mana,GF,5.6592,-53.7767,78.78,85,98,9.48,overcast clouds
332,Kachug,RU,53.9606,105.8817,25.61,66,16,1.99,few clouds
333,Bathsheba,BB,13.2167,-59.5167,75.81,100,75,11.5,broken clouds
334,Oranjemund,NA,-28.55,16.4333,54.86,76,0,12.24,clear sky
335,Kavaratti,IN,10.5669,72.642,84.15,77,24,6.44,few clouds
336,Walvis Bay,NA,-22.9575,14.5053,58.15,82,0,3.44,clear sky
337,Tekirdag,TR,40.978,27.5085,54.75,72,30,0.76,scattered clouds
338,Hithadhoo,MV,-0.6,73.0833,84.09,71,88,6.51,overcast clouds
339,Paamiut,GL,61.994,-49.6678,28.6,91,100,6.06,overcast clouds
340,Hayvoron,UA,48.3396,29.8679,51.69,93,62,8.68,broken clouds
341,Samarinda,ID,-0.5,117.15,73.49,99,100,2.62,overcast clouds
342,Kaduna,NG,10.5222,7.4383,80.62,58,93,5.12,overcast clouds
343,Nuuk,GL,64.1835,-51.7216,29.88,80,100,3.0,overcast clouds
344,Kota Kinabalu,MY,5.9749,116.0724,76.98,88,20,4.61,few clouds
345,Kuusamo,FI,65.9667,29.1833,32.04,100,100,3.44,light rain and snow
346,Lasa,IT,46.6166,10.7002,43.7,98,99,0.49,overcast clouds
